	input	category	prediction
63	A sailor baked a cake .	obj_omitted_transitive_to_transitive	sailor ( 12 ) ; cake ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
64	Jackson baked Jayden .	obj_omitted_transitive_to_transitive	Jackson ( 12 ) ; Jayden ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
65	Liam baked a girl on a table .	obj_omitted_transitive_to_transitive	Liam ( 12 ) ; girl ( 34 ) ; table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
66	Emma baked Christopher .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; Christopher ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
67	The cat baked the frog on the table .	obj_omitted_transitive_to_transitive	* cat ( 12 ) ; * frog ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . on ( 19 , 27 )
68	Emma baked the drink beside the stool .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; drink ( 34 ) ; stool ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
69	Emma baked Hannah .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; Hannah ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
70	Olivia baked the tool beside the table .	obj_omitted_transitive_to_transitive	Olivia ( 12 ) ; tool ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
71	A girl baked the boy in the trap .	obj_omitted_transitive_to_transitive	girl ( 12 ) ; boy ( 34 ) ; trap ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
72	A girl liked that the patient baked a donut on a windowsill .	obj_omitted_transitive_to_transitive	girl ( 12 ) ; patient ( 34 ) ; donut ( 27 ) ; windowsill ( 19 ) ; like ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND bake ( 35 ) AND agent ( 35 , 34 ) AND theme ( 35 , 27 ) AND nmod . on ( 35 , 19 )
73	Benjamin hoped that a teacher baked the boy .	obj_omitted_transitive_to_transitive	Benjamin ( 12 ) ; * teacher ( 34 ) ; * boy ( 27 ) ; hope ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 35 ) AND bake ( 35 ) AND agent ( 35 , 34 ) AND theme ( 35 , 27 )
74	Aiden baked Liam .	obj_omitted_transitive_to_transitive	Aiden ( 12 ) ; Liam ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
75	The frog baked a cake .	obj_omitted_transitive_to_transitive	frog ( 12 ) ; cake ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
76	Emma baked the donut beside a table .	obj_omitted_transitive_to_transitive	Emma ( 12 ) ; donut ( 34 ) ; * table ( 27 ) ; bake ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
77	Carter baked Emma .	obj_omitted_transitive_to_transitive	Carter ( 12 ) ; Emma ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
78	The president baked a cake in a vehicle .	obj_omitted_transitive_to_transitive	president ( 12 ) ; cake ( 34 ) ; vehicle ( 27 ) ; bake ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND location ( 19 , 27 )
79	The spokesman baked a pig .	obj_omitted_transitive_to_transitive	spokesman ( 12 ) ; pig ( 34 ) ; bake ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
80	A strawberry beside a machine was thrown by a lion on a box .	obj_pp_to_subj_pp	strawberry ( 12 ) ; machine ( 34 ) ; lion ( 27 ) ; box ( 19 ) ; beside ( 20 ) AND theme ( 20 , 12 ) AND agent ( 20 , 27 ) AND on ( 35 ) AND theme ( 35 , 19 ) AND throw ( 35 )
81	The boy on a towel gave the frog the cake on a booklet .	obj_pp_to_subj_pp	* boy ( 12 ) ; towel ( 34 ) ; frog ( 27 ) ; cake ( 19 ) ; booklet ( 42 ) ; nmod . on ( 12 , 34 ) AND nmod . on ( 19 , 42 ) AND give ( 35 ) AND agent ( 35 , 12 ) AND theme ( 35 , 19 ) AND recipient ( 35 , 27 )
82	The bird in a box was awarded a ball by the girl beside the machine .	obj_pp_to_subj_pp	bird ( 12 ) ; * box ( 34 ) ; award ( 27 ) ; * ball ( 19 ) ; * girl ( 8 ) ; * machine ( 42 ) ; nmod . in ( 12 , 34 ) AND nmod . beside ( 19 , 42 ) AND award ( 27 ) AND theme ( 27 , 12 ) AND recipient ( 27 , 19 ) AND agent ( 27 , 8 )
83	A producer on a table was given the pumpkin beside a cabinet .	obj_pp_to_subj_pp	producer ( 12 ) ; table ( 34 ) ; pumpkin ( 27 ) ; cabinet ( 19 ) ; give ( 8 ) AND theme ( 8 , 27 ) AND recipient ( 8 , 12 ) AND nmod . beside ( 27 , 19 )
84	The friend in a house beside a stage needed to sneeze .	obj_pp_to_subj_pp	* friend ( 12 ) ; * house ( 34 ) ; * stage ( 27 ) ; nmod . in ( 12 , 34 ) AND nmod . beside ( 12 , 27 ) AND need ( 19 ) AND agent ( 19 , 12 ) AND sneeze ( 19 )
85	The cake on the bed was rolled by the girl in a tin .	obj_pp_to_subj_pp	cake ( 12 ) ; * bed ( 34 ) ; roll ( 27 ) ; * girl ( 19 ) ; * tin ( 42 ) ; nmod . on ( 12 , 34 ) AND nmod . in ( 19 , 42 ) AND agent ( 27 , 19 ) AND theme ( 27 , 12 ) AND agent ( 27 , 19 )
86	The boy in a bush liked Ryan .	obj_pp_to_subj_pp	* boy ( 12 ) ; * bush ( 34 ) ; Ryan ( 27 ) ; nmod . in ( 12 , 34 ) AND like ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 27 )
87	The basket on the keyboard was eaten .	obj_pp_to_subj_pp	* basket ( 12 ) ; * keyboard ( 34 ) ; eat ( 27 ) AND theme ( 27 , 12 ) AND nmod . on ( 12 , 34 )
88	The chief beside the skull rolled Grace .	obj_pp_to_subj_pp	chief ( 12 ) ; skull ( 34 ) ; Grace ( 27 ) ; beside ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 27 )
89	The duck beside a table was served the flag .	obj_pp_to_subj_pp	duck ( 12 ) ; * table ( 34 ) ; flag ( 27 ) ; nmod . beside ( 12 , 34 ) AND serve ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 27 )
90	The moose on the computer liked James .	obj_pp_to_subj_pp	moose ( 12 ) ; * computer ( 34 ) ; James ( 27 ) ; like ( 19 ) AND theme ( 19 , 12 ) AND agent ( 19 , 27 ) AND nmod . on ( 12 , 34 )
91	The boy beside a yacht cleaned .	obj_pp_to_subj_pp	boy ( 12 ) ; yacht ( 34 ) ; clean ( 27 ) AND agent ( 27 , 12 ) AND nmod . beside ( 27 , 34 )
92	A cat on the computer noticed that the teacher beside the book valued the boy .	obj_pp_to_subj_pp	cat ( 12 ) ; * computer ( 34 ) ; notice ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 ) AND teacher ( 19 ) ; * book ( 42 ) ; value ( 35 ) AND agent ( 35 , 19 ) AND theme ( 35 , 13 ) AND beside ( 35 , 42 ) AND boy ( 13 )
93	The cake on a bed was rolled .	obj_pp_to_subj_pp	cake ( 12 ) ; * bed ( 34 ) ; roll ( 27 ) AND theme ( 27 , 12 ) AND nmod . on ( 12 , 34 )
94	The cookie beside a bed was disintegrated by a father in the cupboard .	obj_pp_to_subj_pp	cookie ( 12 ) ; bed ( 34 ) ; father ( 27 ) ; cupboard ( 19 ) ; disintegrate ( 8 ) AND theme ( 8 , 12 ) AND agent ( 8 , 27 ) AND nmod . beside ( 12 , 34 ) AND nmod . in ( 27 , 19 )
95	A rose beside a table was eaten by a king in the house .	obj_pp_to_subj_pp	rose ( 12 ) ; table ( 34 ) ; king ( 27 ) ; house ( 19 ) ; eat ( 20 ) AND theme ( 20 , 12 ) AND agent ( 20 , 27 ) AND nmod . beside ( 12 , 34 ) AND nmod . in ( 27 , 19 )
96	The cake in the room was seen .	obj_pp_to_subj_pp	cake ( 12 ) ; * room ( 34 ) ; see ( 27 ) AND theme ( 27 , 12 ) AND nmod . in ( 27 , 34 )
97	A girl in the house forwarded Victoria a gumball in the shoe .	obj_pp_to_subj_pp	girl ( 12 ) ; * house ( 34 ) ; Victoria ( 27 ) ; * gumball ( 19 ) ; * shoe ( 42 ) ; nmod . in ( 12 , 34 ) AND nmod . in ( 19 , 42 ) AND forward ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 19 ) AND recipient ( 20 , 27 )
98	The raisin beside the table was valued by a bear beside a stage .	obj_pp_to_subj_pp	raisin ( 12 ) ; table ( 34 ) ; bear ( 27 ) ; stage ( 19 ) ; value ( 8 ) AND theme ( 8 , 12 ) AND agent ( 8 , 27 ) AND nmod . beside ( 12 , 34 ) AND nmod . beside ( 27 , 19 )
99	A horse in the house was given the hammer beside a bed .	obj_pp_to_subj_pp	horse ( 12 ) ; * house ( 34 ) ; hammer ( 27 ) ; * bed ( 19 ) ; nmod . in ( 12 , 34 ) AND nmod . beside ( 27 , 19 ) AND give ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 27 ) AND recipient ( 20 , 19 )
100	A cockroach cleaned the cookie on a sock .	obj_to_subj_common	cockroach ( 12 ) ; cookie ( 34 ) ; sock ( 27 ) ; clean ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND nmod . on ( 34 , 27 )
101	The cockroach slid a guest .	obj_to_subj_common	cockroach ( 12 ) ; guest ( 34 ) ; slide ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
102	The cockroach lended the girl the cake .	obj_to_subj_common	cockroach ( 12 ) ; girl ( 34 ) ; cake ( 27 ) ; lend ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
103	A cockroach burned the sandwich .	obj_to_subj_common	cockroach ( 12 ) ; sandwich ( 34 ) ; burn ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
104	The cockroach lended the child a cake .	obj_to_subj_common	cockroach ( 12 ) ; child ( 34 ) ; cake ( 27 ) ; lend ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
105	The cockroach split Isabella .	obj_to_subj_common	cockroach ( 12 ) ; Isabella ( 34 ) ; split ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
106	A cockroach fed the girl the cake .	obj_to_subj_common	cockroach ( 12 ) ; girl ( 34 ) ; cake ( 27 ) ; feed ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
107	William hoped that a cockroach ate .	obj_to_subj_common	William ( 12 ) ; cockroach ( 34 ) ; eat ( 27 ) AND agent ( 27 , 34 ) AND hope ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 )
108	A cockroach observed .	obj_to_subj_common	cockroach ( 12 ) ; observe ( 34 ) AND agent ( 34 , 12 )
109	The cockroach passed a judge the donut on the stage .	obj_to_subj_common	cockroach ( 12 ) ; judge ( 34 ) ; donut ( 27 ) ; stage ( 19 ) ; pass ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 27 ) AND recipient ( 20 , 34 ) AND nmod . on ( 27 , 19 )
110	A girl hoped that the cockroach gave a cake beside the bed to a cat .	obj_to_subj_common	girl ( 12 ) ; cockroach ( 34 ) ; cake ( 27 ) ; bed ( 19 ) ; cat ( 42 ) ; hope ( 8 ) AND agent ( 8 , 12 ) AND ccomp ( 8 , 53 ) AND give ( 53 ) AND agent ( 53 , 34 ) AND theme ( 53 , 27 ) AND recipient ( 53 , 42 ) AND nmod . beside ( 27 , 19 )
111	A cockroach liked the cake .	obj_to_subj_common	cockroach ( 12 ) ; cake ( 34 ) ; like ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
112	The cockroach lended Charlotte the cookie .	obj_to_subj_common	cockroach ( 12 ) ; Charlotte ( 34 ) ; cookie ( 27 ) ; lend ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
113	The cockroach passed Emma a cake .	obj_to_subj_common	cockroach ( 12 ) ; Emma ( 34 ) ; cake ( 27 ) ; pass ( 19 ) AND theme ( 19 , 27 ) AND recipient ( 19 , 34 ) AND agent ( 19 , 12 )
114	The cockroach studied .	obj_to_subj_common	cockroach ( 12 ) ; study ( 34 ) AND theme ( 34 , 12 )
115	A cockroach painted Lucas .	obj_to_subj_common	cockroach ( 12 ) ; Lucas ( 34 ) ; paint ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
116	Nora said that the cockroach painted the box on a table .	obj_to_subj_common	Nora ( 12 ) ; * cockroach ( 34 ) ; * box ( 27 ) ; * table ( 19 ) ; say ( 8 ) AND agent ( 8 , 12 ) AND ccomp ( 8 , 53 ) AND paint ( 53 ) AND agent ( 53 , 34 ) AND theme ( 53 , 27 ) AND nmod . on ( 27 , 19 )
117	Emma liked that the cockroach ate .	obj_to_subj_common	Emma ( 12 ) ; cockroach ( 34 ) ; like ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
118	A cockroach liked a strawberry on the mattress .	obj_to_subj_common	cockroach ( 12 ) ; strawberry ( 34 ) ; mattress ( 27 ) ; like ( 19 ) AND theme ( 19 , 34 ) AND nmod . on ( 34 , 27 ) AND agent ( 19 , 12 )
119	The girl said that the cockroach dreamed to read .	obj_to_subj_common	girl ( 12 ) ; cockroach ( 34 ) ; say ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 19 ) AND dream ( 19 ) AND theme ( 19 , 34 ) AND read ( 19 )
120	Charlie offered a flag beside a trophy to Liam .	obj_to_subj_proper	Charlie ( 12 ) ; flag ( 34 ) ; trophy ( 27 ) ; Liam ( 19 ) ; offer ( 20 ) AND theme ( 20 , 34 ) AND recipient ( 20 , 19 ) AND nmod . beside ( 34 , 27 )
121	Charlie studied a shell in the house .	obj_to_subj_proper	Charlie ( 12 ) ; shell ( 34 ) ; * house ( 27 ) ; study ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . in ( 19 , 27 )
122	Charlie rolled the doll .	obj_to_subj_proper	Charlie ( 12 ) ; doll ( 34 ) ; roll ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
123	Charlie helped a donut on the table .	obj_to_subj_proper	Charlie ( 12 ) ; donut ( 34 ) ; table ( 27 ) ; help ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND location ( 19 , 27 )
124	Charlie ate the cookie on a table .	obj_to_subj_proper	Charlie ( 12 ) ; cookie ( 34 ) ; table ( 27 ) ; eat ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . on ( 34 , 27 )
125	Charlie gave the cake on a seat to the girl .	obj_to_subj_proper	Charlie ( 12 ) ; cake ( 34 ) ; seat ( 27 ) ; * girl ( 19 ) ; give ( 20 ) AND agent ( 20 , 12 ) AND theme ( 20 , 34 ) AND recipient ( 20 , 19 ) AND nmod . on ( 34 , 27 )
126	Charlie inflated Lily .	obj_to_subj_proper	Charlie ( 12 ) ; Lily ( 34 ) ; inflate ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
127	Charlie gave a cookie to a girl .	obj_to_subj_proper	Charlie ( 12 ) ; cookie ( 34 ) ; girl ( 27 ) ; give ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND recipient ( 19 , 27 )
128	Charlie ate the girl on a stage .	obj_to_subj_proper	Charlie ( 12 ) ; girl ( 34 ) ; stage ( 27 ) ; eat ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
129	Charlie offered Savannah the cake on a bed .	obj_to_subj_proper	Charlie ( 12 ) ; Savannah ( 34 ) ; cake ( 27 ) ; bed ( 19 ) ; offer ( 20 ) AND agent ( 20 , 12 ) AND recipient ( 20 , 34 ) AND theme ( 20 , 27 ) AND location ( 20 , 19 )
130	Charlie rolled Isabella .	obj_to_subj_proper	Charlie ( 12 ) ; Isabella ( 34 ) ; roll ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
131	Charlie liked Harper .	obj_to_subj_proper	Charlie ( 12 ) ; Harper ( 34 ) ; like ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 )
132	Charlie liked the crystal in a car .	obj_to_subj_proper	Charlie ( 12 ) ; crystal ( 34 ) ; * car ( 27 ) ; like ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND nmod . in ( 34 , 27 )
133	Charlie fed the zebra the nail .	obj_to_subj_proper	Charlie ( 12 ) ; zebra ( 34 ) ; nail ( 27 ) ; feed ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
134	Charlie gave the puppy the chemical .	obj_to_subj_proper	Charlie ( 12 ) ; puppy ( 34 ) ; chemical ( 27 ) ; give ( 19 ) AND agent ( 19 , 12 ) AND recipient ( 19 , 34 ) AND theme ( 19 , 27 )
135	Thomas said that Charlie ate the cookie .	obj_to_subj_proper	Thomas ( 12 ) ; Charlie ( 34 ) ; cookie ( 27 ) ; say ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 ) AND eat ( 27 ) AND agent ( 27 , 34 )
136	Charlie inflated the cake on a table .	obj_to_subj_proper	Charlie ( 12 ) ; cake ( 34 ) ; table ( 27 ) ; inflate ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND location ( 19 , 27 )
137	Charlie sketched the girl in the car .	obj_to_subj_proper	Charlie ( 12 ) ; girl ( 34 ) ; car ( 27 ) ; sketch ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . in ( 19 , 27 )
138	Charlie painted a girl beside a table .	obj_to_subj_proper	Charlie ( 12 ) ; girl ( 34 ) ; table ( 27 ) ; paint ( 19 ) AND agent ( 19 , 12 ) AND theme ( 19 , 34 ) AND nmod . beside ( 19 , 27 )
139	Charlie helped a cake beside a beast .	obj_to_subj_proper	Charlie ( 12 ) ; cake ( 34 ) ; * beast ( 27 ) ; help ( 19 ) AND theme ( 19 , 34 ) AND agent ( 19 , 12 ) AND nmod . beside ( 34 , 27 )
140	A coach liked that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	coach ( 12 ) ; * cobra ( 34 ) ; like ( 27 ) AND theme ( 27 , 34 ) AND agent ( 27 , 12 ) AND roll ( 19 ) AND theme ( 19 , 34 )
141	Emma declared that a cobra split .	only_seen_as_transitive_subj_as_unacc_subj	Emma ( 12 ) ; cobra ( 34 ) ; split ( 27 ) AND agent ( 27 , 34 ) AND declare ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 )
142	Lily wished that the cobra floated .	only_seen_as_transitive_subj_as_unacc_subj	Lily ( 12 ) ; * cobra ( 34 ) ; wish ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 53 ) AND float ( 53 ) AND theme ( 53 , 34 )
143	Amelia supported that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	Amelia ( 12 ) ; * cobra ( 34 ) ; support ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 34 ) AND roll ( 34 )
144	Emily confessed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	Emily ( 12 ) ; * cobra ( 34 ) ; confess ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 53 ) AND burn ( 53 ) AND theme ( 53 , 34 )
145	The dog tolerated that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	dog ( 12 ) ; cobra ( 34 ) ; roll ( 27 ) AND theme ( 27 , 34 ) AND tolerate ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 )
146	Ella dreamed that the cobra slid .	only_seen_as_transitive_subj_as_unacc_subj	Ella ( 12 ) ; * cobra ( 34 ) ; dream ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 39 ) AND slide ( 39 ) AND theme ( 39 , 34 )
147	A girl respected that the cobra rolled .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 12 ) ; * cobra ( 34 ) ; roll ( 27 ) AND theme ( 27 , 34 ) AND agent ( 27 , 34 ) AND respect ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 )
148	Elijah wished that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	Elijah ( 12 ) ; * cobra ( 34 ) ; wish ( 27 ) AND agent ( 27 , 12 ) AND theme ( 27 , 34 ) AND freeze ( 19 ) AND theme ( 19 , 34 )
149	A governor believed that a cobra burned .	only_seen_as_transitive_subj_as_unacc_subj	governor ( 12 ) ; cobra ( 34 ) ; burn ( 27 ) AND theme ( 27 , 34 ) AND believe ( 19 ) AND agent ( 19 , 12 ) AND ccomp ( 19 , 27 )
150	The coach liked that the cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	coach ( 12 ) ; * cobra ( 34 ) ; like ( 27 ) AND theme ( 27 , 34 ) AND agent ( 27 , 12 ) AND freeze ( 19 ) AND theme ( 19 , 34)
151	The girl liked that a cobra froze .	only_seen_as_transitive_subj_as_unacc_subj	girl ( 12 ) ; like ( 27 ) AND agent ( 27 , 12 ) AND ccomp ( 27 , 34 ) AND freeze ( 34 ) AND theme ( 34 , 48 )
